[set,]image_path[,label]
TRAIN,gs://mooieman-us-regional-standard/mooieman0001-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0002-2019-10-18T21:13:36.617Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0002-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0003-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0004-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0005-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0006-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0007-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0008-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0009-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0010-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0011-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0012-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0013-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0014-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0015-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0016-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0017-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0018-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0019-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0020-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0021-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0022-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0023-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0024-2019-10-18T21:18:49.082Z.JPG,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0025-2019-10-18T21:18:49.082Z.JPG,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0026-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0027-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0028-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0029-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0030-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0031-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0032-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0033-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0034-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0035-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0036-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0037-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0038-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0039-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0040-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0041-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0042-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0043-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0044-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0045-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0046-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0047-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0048-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0049-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0050-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0051-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0052-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0053-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0054-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0055-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0056-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0057-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0058-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0059-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0060-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0061-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0062-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0063-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0064-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0065-2019-10-18T21:18:49.082Z.jpg,mooieman
TRAIN,gs://mooieman-us-regional-standard/mooieman0066-2019-10-18T21:18:49.082Z.jpg,mooieman
